util,Action de table,Affichage d'un toast,Affichage d'une arborescence,Affichage d'une dialogue,Affichage d'une erreur,Chainage,Clic long,Clic sur une checkbox,Clic sur une grille d'historique de recherche,Création d'un écran,Dissimulation d'une arborescence,Double-clic,Démarrage serveur d'application Tomcat,Désélection d'un flag,Désélection d'un élément,Entrée en saisie dans un formulaire,Erreur système grave,Exécution d'un bouton,Fermeture d'un panel,Fermeture d'une dialogue,Fermeture de session,Filtrage / Tri,Lancement d'un tableau de bord,Lancement d'une action générique,Lancement d'une action infocentre,Lancement d'une stat,Ouverture d'un panel,Raccourci,Raccourci dans l'édition de table,Retour sur un écran,Saisie dans un champ,Sélection d'un flag,Sélection d'un écran,Sélection d'un élément,Sélection d’un onglet
aho,0.010356381358513555,0.005482790130977765,0.002589095339628389,0.0625951873286628,0.0015229972586049345,0.027109351203167834,0.0,0.003045994517209869,0.20804142552543406,0.04843131282363692,0.0019798964361864148,0.005482790130977765,0.00015229972586049346,0.0,0.007462686567164179,0.0,0.0,0.14118184587267743,0.002589095339628389,0.06427048431312823,0.0009137983551629607,0.0006091989034419738,0.0,0.043100822418519646,0.0,0.002589095339628389,0.0009137983551629607,0.04127322570819372,0.0,0.009442583003350593,0.2138288151081328,0.0,0.07234236978373439,0.007919585744745659,0.014773073408467865
ajo,0.02208955223880597,0.011119402985074626,0.007313432835820896,0.049850746268656716,0.0030597014925373136,0.027238805970149254,0.00014925373134328358,0.02111940298507463,0.0023880597014925373,0.0367910447761194,0.004626865671641791,0.006194029850746269,0.0008208955223880597,0.0,0.003955223880597015,0.0,0.0,0.1969402985074627,0.005671641791044776,0.055,0.0005970149253731343,0.003880597014925373,7.462686567164179e-05,0.029328358208955223,0.0,0.02783582089552239,0.001119402985074627,0.15574626865671642,0.0,0.09731343283582089,0.07,0.0,0.09716417910447761,0.003582089552238806,0.05902985074626866
akx,0.006270378730875345,0.00802608477552044,0.004765487835465262,0.060446450965638325,0.0030097817908201654,0.011537496864810634,0.0,0.004514672686230248,0.006772009029345372,0.042638575369952345,0.008276899924755455,0.018811136192626036,0.00025081514923501377,0.0007524454477050414,0.11387007775269627,0.0,0.0,0.13544018058690746,0.002257336343115124,0.06772009029345373,0.002257336343115124,0.00025081514923501377,0.0,0.04991221469776774,0.0,0.0017557060446450965,0.001254075746175069,0.1986455981941309,0.0,0.008527715073990468,0.05041384499623777,0.0,0.0581891146225232,0.11537496864810634,0.01805869074492099
ald,0.00809867003492087,0.004829482130916116,0.0021546920276394976,0.05579909354335389,0.003120588453822721,0.02541050598112787,7.429972509101716e-05,0.001411694776729326,0.07021324021101122,0.05787948584590237,0.0017831934021844118,0.008172969760011887,0.0005200980756371201,0.00014859945018203433,0.009213165911286129,0.13908908537038414,0.0,0.15550932461549893,0.00022289917527305148,0.05743368749535627,0.0006686975258191545,0.006464076082918493,0.0,0.077940411620477,0.0,0.026599301582584143,0.00022289917527305148,0.034177873541867895,0.0,0.008841667285831042,0.0948064492161379,0.00029719890036406866,0.10283081952596776,0.009361765361468162,0.03670406419496248
ats,0.005443727054057475,0.010254462590201291,0.007089505000632991,0.06405874161286239,0.006709710089884796,0.023040891252057223,0.0,0.013166223572604127,0.0030383592859855677,0.043423218128877075,0.005317128750474744,0.0253196607165464,0.00037979491074819596,0.0,0.008861881250791239,0.0,0.0,0.1760982402835802,0.003671350803899228,0.06621091277376884,0.000126598303582732,0.0018989745537409798,0.2045828585896949,0.07722496518546651,0.0,0.0030383592859855677,0.00037979491074819596,0.018863147233827066,0.0,0.005443727054057475,0.094948727687049,0.000126598303582732,0.10798835295607039,0.008608684643625776,0.014685403215596912
avt,0.0005787371954395509,0.002430696220846114,0.0,0.07002720064818566,0.0005787371954395509,0.05127611551594421,0.0,0.0,0.12494936049539904,0.05069737832050466,0.0,0.049771398807801376,0.0,0.0,0.0,0.0,0.0,0.2136697725562822,0.00017362115863186526,0.0703744429654494,0.000694484634527461,0.0028358122576537994,0.0,0.19011516870189246,0.0,0.002720064818565889,0.00011574743908791018,0.0,0.0,0.0733260026621911,0.0715319173563285,0.0,0.020776665316279877,0.0,0.003356675733549395
azn,0.014742014742014743,0.029484029484029485,0.0,0.15233415233415235,0.007371007371007371,0.056511056511056514,0.0,0.0,0.0,0.02702702702702703,0.0,0.0171990171990172,0.0,0.0,0.0,0.0,0.0,0.32678132678132676,0.0,0.15724815724815724,0.004914004914004914,0.0,0.0,0.009828009828009828,0.0,0.002457002457002457,0.0,0.002457002457002457,0.0,0.009828009828009828,0.07371007371007371,0.0,0.08108108108108109,0.0,0.02702702702702703
azo,0.0028580501746586218,0.005610246639144702,0.0002117074203450831,0.07272149888853605,0.004551709537419286,0.03344977241452313,0.0,0.0027521964644860804,0.0031756113051762463,0.0588546628559331,0.0014819519424155816,0.15295861119932253,0.0,0.0,0.0,0.0,0.0,0.18122155181539112,0.00010585371017254155,0.07505028051233195,0.0005292685508627077,0.0015878056525881232,0.0,0.04795173070816132,0.0,0.002328781623795914,0.0002117074203450831,0.029744892558484174,0.0,0.09516248544511485,0.07473271938181433,0.0,0.12236688895945803,0.0,0.030380014819519425
azx,0.0016068559185859668,0.018746652383502947,0.00856989823245849,0.14193893947509373,0.007498660953401178,0.01821103374397429,0.0,0.0,0.012319228709159078,0.05731119442956615,0.003749330476700589,0.006427423674343867,0.0005356186395286556,0.0,0.014997321906802356,0.0,0.0,0.31226566684520624,0.003749330476700589,0.14997321906802358,0.0032137118371719335,0.0016068559185859668,0.0,0.056775575790037495,0.0,0.0048205677557579,0.0005356186395286556,0.0005356186395286556,0.0,0.003749330476700589,0.08516336368505624,0.0,0.05356186395286556,0.016604177825388325,0.015532940546331012
bez,0.0,0.0,0.0,0.023503077783995522,0.003357582540570789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00391717963066592,0.0,0.19809736989367654,0.0,0.023503077783995522,0.001119194180190263,0.0,0.0,0.0,0.0005595970900951316,0.0,0.0,0.43648573027420257,0.0,0.0,0.30833799664241746,0.0,0.0,0.0,0.001119194180190263
